Data,Interwencje,Zatrzymani_Goracy_Uczynek,Zatrzymani_Poszukiwani,Kierujacy_Alkohol,Wypadki_Drogowe,Zabici,Ranni
2019-02-21,14256,580,341,145,85,5,99
2019-02-20,14358,570,367,146,51,8,60
2019-02-19,14937,676,336,174,74,4,85
2019-02-18,15017,562,303,178,81,7,85
2019-02-17,13711,572,170,237,44,7,47
2019-02-16,16753,589,202,221,69,10,95
2019-02-15,16320,639,363,184,74,5,102
2019-02-14,14640,495,331,142,61,8,57
2019-02-13,13785,579,331,128,54,10,63
2019-02-12,14028,520,355,136,50,6,57
2019-02-11,13784,552,295,163,59,5,66
2019-02-10,12671,581,168,250,65,6,88
2019-02-09,16115,650,219,238,69,9,83
2019-02-08,16196,556,414,153,69,6,80
2019-02-07,13780,560,334,149,58,7,65
2019-02-06,13550,538,341,139,57,5,71
2019-02-05,13734,543,319,130,59,5,64
2019-02-04,13614,511,284,158,63,7,75
2019-02-03,12279,614,187,230,41,8,45
2019-02-02,15777,658,209,219,69,6,94
2019-02-01,15170,599,356,157,55,6,57
2019-01-31,14098,488,388,128,59,5,80
2019-01-30,13768,556,407,132,64,3,68
2019-01-29,13422,573,377,148,52,5,56
2019-01-28,13790,524,309,161,51,3,63
2019-01-27,12073,531,180,194,47,8,63
2019-01-26,14398,498,205,180,48,4,58
2019-01-25,15269,510,476,129,74,3,97
2019-01-24,13137,472,359,108,40,3,41
2019-01-23,12925,472,392,104,50,7,67
2019-01-22,13495,485,395,116,62,8,69
2019-01-21,13210,474,322,128,51,9,58
2019-01-20,11787,500,182,219,34,4,41
2019-01-19,15226,554,164,166,55,9,67
2019-01-18,15436,491,354,135,69,8,81
2019-01-17,14551,549,458,130,61,2,72
2019-01-16,14102,527,373,117,52,6,51
2019-01-15,13853,479,369,113,67,2,70
2019-01-14,15054,494,277,123,84,5,94
2019-01-13,11970,576,238,187,46,3,59
2019-01-12,15035,736,227,315,57,2,78
2019-01-11,14862,532,358,136,60,3,71
2019-01-10,13831,469,357,110,65,6,74
2019-01-09,13213,451,367,102,76,4,88
2019-01-08,13420,449,308,82,86,7,92
2019-01-07,13090,415,310,100,49,5,58
2019-01-06,10518,435,162,144,39,7,37
2019-01-05,13807,403,225,132,61,4,73
2019-01-04,14058,410,378,98,52,4,67
2019-01-03,13694,379,337,100,69,5,94
2019-01-02,13356,400,274,110,68,7,87
2019-01-01,18492,677,192,294,51,10,54
2018-12-31,14814,342,206,112,54,4,72
2018-12-30,13303,416,191,146,68,13,71
2018-12-29,15738,474,222,156,58,6,75
2018-12-28,15927,417,346,110,89,10,101
2018-12-27,15062,409,324,134,61,8,66
2018-12-26,11325,358,115,148,35,3,45
2018-12-25,10890,280,104,143,43,2,60
2018-12-24,11688,304,171,119,67,6,74
2018-12-23,15433,512,209,203,83,7,101
2018-12-22,18383,544,261,224,108,8,121
2018-12-21,17870,453,377,153,108,9,142
2018-12-20,15507,383,369,94,75,7,112
2018-12-19,14651,414,278,133,80,9,79
2018-12-18,14460,379,257,104,74,3,84
2018-12-17,14106,384,243,147,63,3,76
2018-12-16,13690,464,175,160,66,8,82
2018-12-15,16501,505,182,174,67,6,76
2018-12-14,15982,409,299,118,74,7,80
2018-12-13,14042,444,326,119,66,6,72
2018-12-12,14111,406,344,102,101,8,111
2018-12-11,14345,412,348,104,90,5,112
2018-12-10,14516,420,285,123,114,12,120
2018-12-09,12588,478,149,207,80,10,99
2018-12-08,15932,519,205,186,85,5,98
2018-12-07,15546,388,283,123,115,10,158
2018-12-06,13781,398,301,96,96,10,108
2018-12-05,14345,390,288,102,126,7,138
2018-12-04,13826,402,305,101,112,7,117
2018-12-03,14304,391,298,143,118,6,133
2018-12-02,13207,459,165,200,73,14,104
2018-12-01,15727,419,215,148,59,5,69
2018-11-30,15051,427,302,141,77,7,92
2018-11-29,13521,405,420,102,84,10,89
2018-11-28,13392,391,375,121,77,12,73
2018-11-27,13276,413,316,109,65,8,77
2018-11-26,13948,465,304,192,68,5,79
2018-11-25,13931,561,146,257,66,9,80
2018-11-24,15892,465,188,201,71,10,83
2018-11-23,14930,437,319,147,83,5,91
2018-11-22,13531,477,368,155,52,3,60
2018-11-21,13107,431,311,81,53,4,58
2018-11-20,13246,449,337,117,64,4,70
2018-11-19,12958,424,304,145,78,5,92
2018-11-18,11883,483,154,235,65,7,73
2018-11-17,15341,538,181,211,64,4,78
2018-11-16,15027,467,310,146,56,6,59
2018-11-15,14006,483,337,158,76,8,81
2018-11-14,14060,479,332,160,108,9,114
2018-11-13,14146,396,217,139,100,12,117
2018-11-12,11169,361,110,161,62,3,75
2018-11-11,12852,356,86,164,69,3,96
2018-11-10,15694,348,104,139,60,5,71
2018-11-09,13241,195,100,81,78,4,83
2018-11-08,11637,230,108,80,83,8,98
2018-11-07,12015,223,112,75,71,9,71
2018-11-06,12696,229,131,57,105,9,122
2018-11-05,12862,296,164,101,62,6,72
2018-11-04,13566,486,143,204,57,7,75
2018-11-03,15276,519,167,209,82,14,114
2018-11-02,16342,514,248,197,79,11,96
2018-11-01,13209,437,183,201,65,8,83
2018-10-31,18449,509,364,192,128,13,135
2018-10-30,15735,478,378,131,104,9,124
2018-10-29,14414,484,340,158,107,6,136
2018-10-28,13588,542,168,245,83,8,103
2018-10-27,16375,564,186,231,79,10,88
2018-10-26,16056,534,393,181,98,9,112
2018-10-25,14315,519,365,164,116,8,144
2018-10-24,14064,445,293,146,125,12,146
2018-10-23,13481,437,302,130,106,7,134
2018-10-22,14482,552,261,230,73,4,84
2018-10-21,15606,723,202,338,80,7,105
2018-10-20,17691,596,208,267,84,6,96
2018-10-19,16849,577,337,191,82,8,99
2018-10-18,15405,533,354,177,86,5,100
2018-10-17,15408,582,335,197,104,6,115
2018-10-16,15671,553,361,179,104,9,110
2018-10-15,16557,580,289,200,123,14,135
2018-10-14,14880,574,146,279,97,13,116
2018-10-13,19052,649,204,290,127,9,143
2018-10-12,18120,630,364,221,117,9,133
2018-10-11,15829,563,362,189,103,7,114
2018-10-10,15330,573,355,170,96,8,101
2018-10-09,15124,550,369,197,70,5,84
2018-10-08,14841,624,320,251,85,7,95
2018-10-07,15305,652,176,293,89,13,111
2018-10-06,17592,583,193,228,108,15,123
2018-10-05,16743,540,340,192,84,9,86
2018-10-04,14290,503,364,153,79,5,95
2018-10-03,13781,464,283,136,91,6,114
2018-10-02,13156,407,277,115,82,6,97
2018-10-01,14738,551,304,233,98,11,108
2018-09-30,14321,533,168,243,84,10,95
2018-09-29,16340,542,225,230,107,8,120
2018-09-28,15727,475,356,167,92,10,101
2018-09-27,14279,482,365,154,79,8,88
2018-09-26,13555,420,315,112,85,3,96
2018-09-25,13156,404,310,116,71,3,83
2018-09-24,14374,437,324,146,112,8,151
2018-09-23,13206,555,167,260,63,5,88
2018-09-22,,514,209,230,96,6,126
2018-09-21,18370,510,311,184,123,7,142
2018-09-20,16148,536,310,179,101,12,110
2018-09-19,15538,514,310,169,97,3,108
2018-09-18,15393,533,341,180,82,5,89
2018-09-17,15351,504,276,194,91,5,130
2018-09-16,15437,591,154,284,78,8,92
2018-09-15,18129,624,194,259,94,9,114
2018-09-14,17116,529,381,176,104,12,125
2018-09-13,15560,509,294,186,101,10,121
2018-09-12,16014,536,291,184,115,6,133
2018-09-11,15799,514,315,156,102,4,123
2018-09-10,15996,610,303,264,108,6,136
2018-09-09,15602,554,169,289,86,17,103
2018-09-08,18642,586,195,267,122,9,143
2018-09-07,17378,518,330,175,114,16,129
2018-09-06,15802,506,327,178,108,5,115
2018-09-05,15284,484,311,164,78,3,83
2018-09-04,15764,524,326,197,98,5,109
2018-09-03,16341,470,236,180,110,9,127
2018-09-02,16460,644,161,330,87,8,106
2018-09-01,19236,640,189,271,101,9,116
2018-08-31,17253,541,362,225,98,6,120
2018-08-30,15581,523,386,194,91,5,108
2018-08-29,15567,526,345,173,86,12,86
2018-08-28,15154,464,322,151,80,9,82
2018-08-28,15199,524,255,225,87,4,100
2018-08-26,15684,604,163,280,77,7,108
2018-08-25,18993,611,185,279,126,8,161
2018-08-24,18607,575,276,210,92,9,101
2018-08-23,16990,554,305,197,97,6,111
2018-08-22,16600,517,299,180,87,9,89
2018-08-21,17148,594,349,196,73,4,85
2018-08-20,17628,561,300,250,87,5,112
2018-08-19,17567,626,160,323,87,14,98
2018-08-18,19928,624,172,280,100,17,158
2018-08-17,18165,580,241,221,88,4,115
2018-08-16,17344,728,304,383,91,3,108
2018-08-15,15822,526,171,258,61,1,69
2018-08-14,18770,563,290,208,102,9,121
2018-08-13,17642,535,278,228,88,2,117
2018-08-12,17162,675,164,331,89,7,117
2018-08-11,20074,551,183,250,91,10,126
2018-08-10,19000,554,263,220,111,10,125
2018-08-09,17887,577,334,238,103,10,117
2018-08-08,17094,531,310,182,126,13,149
2018-08-07,17163,534,307,182,117,14,130
2018-08-06,17712,513,277,210,100,8,125
2018-08-05,19042,707,169,346,91,8,118
2018-08-04,21997,665,164,281,88,7,105
2018-08-03,19907,562,264,224,116,9,119
2018-08-02,18405,570,262,246,87,5,98
2018-08-01,18160,544,269,165,84,7,104
2018-07-31,17867,493,293,175,88,9,111
2018-07-30,18350,611,298,227,85,4,107
2018-07-29,19721,706,189,328,68,10,90
2018-07-28,21238,693,181,296,94,9,121
2018-07-27,19189,475,262,195,83,6,96
2018-07-26,17309,536,269,215,105,2,120
2018-07-25,17299,542,330,200,108,6,135
2018-07-24,17203,513,267,178,102,6,128
2018-07-23,17362,560,253,244,99,9,113
2018-07-22,17847,605,167,328,88,9,102
2018-07-21,20719,583,179,276,96,6,108
2018-07-20,18501,474,287,172,83,7,91
2018-07-19,16204,534,285,155,65,3,77
2018-07-18,15362,462,268,150,95,6,122
2018-07-17,15630,502,263,180,92,4,109
2018-07-16,16612,635,257,284,107,4,145
2018-07-15,16259,658,173,321,93,7,129
2018-07-14,18098,587,193,236,106,12,134
2018-07-13,17229,484,291,184,128,13,149
2018-07-12,15963,566,265,223,92,7,110
2018-07-11,15911,570,246,186,101,9,113
2018-07-10,16039,523,271,183,102,6,120
2018-07-09,16739,559,244,230,112,8,134
2018-07-08,17166,668,167,305,109,12,134
2018-07-07,19004,627,159,299,99,9,121
2018-07-06,17657,545,254,225,99,3,136
2018-07-05,16234,517,292,196,86,12,96
2018-07-04,16310,580,291,202,85,5,91
2018-07-03,15392,517,217,187,83,7,98
2018-07-02,14616,525,195,225,76,6,90
2018-07-01,14176,623,153,298,75,9,104
2018-06-30,17367,606,179,273,93,4,122
2018-06-29,18331,547,297,226,96,10,112
2018-06-28,15809,525,312,175,97,5,117
2018-06-27,15598,561,459,178,72,3,100
2018-06-26,14953,486,417,161,80,6,93
2018-06-25,15356,589,194,255,85,8,108
2018-06-24,14166,638,132,295,84,8,122
2018-06-23,16310,602,177,237,107,6,138
2018-06-22,17317,511,276,196,119,7,152
2018-06-20,17582,642,357,243,87,7,92
2018-06-21,17537,545,269,201,107,7,127
2018-06-19,17594,586,274,211,94,6,103
2018-06-18,10374,657,210,225,104,10,135
2018-06-17,17830,689,157,356,74,7,92
2018-06-16,20035,665,161,326,112,11,118
2018-06-15,18408,531,267,215,98,14,112
2018-06-14,15984,553,282,165,90,5,104
2018-06-13,16077,598,286,204,87,3,103
2018-06-12,16014,492,234,168,114,6,128
2018-06-11,18049,566,243,239,111,8,134
2018-06-10,19243,738,148,367,82,6,105
2018-06-09,21373,860,156,501,101,3,130
2018-06-08,18472,600,304,221,138,4,180
2018-06-07,16459,546,226,181,118,5,130
2018-06-06,15881,508,262,171,106,3,129
2018-06-05,16421,590,242,200,96,4,110
2018-06-04,17279,574,235,214,117,10,153
2018-06-03,18064,682,155,341,85,2,114
2018-06-02,19820,655,165,323,97,7,127
2018-06-01,19409,694,222,287,109,7,130
2018-05-31,16709,572,139,289,90,7,111
2018-05-30,19220,509,247,179,123,4,140
2018-05-29,17251,518,297,164,129,7,153
2018-05-28,17415,538,288,235,97,3,117
2018-05-27,17523,667,140,337,82,11,106
2018-05-26,18594,600,135,268,95,5,117
2018-05-25,18219,540,320,175,128,8,143
2018-05-24,16557,626,289,240,108,0,133
2018-05-23,15830,515,281,157,114,4,138
2018-05-22,15517,505,246,178,102,5,112
2018-05-21,15984,542,211,186,89,6,104
2018-05-20,15674,662,151,293,94,3,123
2018-05-19,17583,631,174,270,107,7,142
2018-05-18,16443,545,222,178,82,6,88
2018-05-17,14618,532,233,146,82,3,100
2018-05-16,15467,520,252,154,92,5,105
2018-05-15,15541,496,221,170,88,3,112
2018-05-14,16306,593,238,226,115,5,132
2018-05-13,16989,678,143,319,99,8,108
2018-05-12,20284,601,151,281,103,7,111
2018-05-11,18740,618,263,214,105,12,118
2018-05-10,17580,597,284,190,96,6,110
2018-05-09,15632,463,232,150,100,12,115
2018-05-08,15341,450,261,137,96,5,107
2018-05-07,15519,495,176,171,116,8,124
2018-05-06,14564,620,131,287,104,11,127
2018-05-05,16358,550,139,251,87,8,119
2018-05-04,16566,540,199,251,94,4,107
2018-05-03,13962,582,142,285,64,6,88
2018-05-02,16783,591,170,259,89,4,103
2018-05-01,15572,589,137,269,61,10,81
2018-04-30,18410,532,220,257,86,4,115
2018-04-29,17316,737,166,339,75,13,103
2018-04-28,18683,609,166,275,97,7,131
2018-04-27,17189,553,273,218,95,5,107
2018-04-26,15078,559,287,161,85,6,102
2018-04-25,15482,528,242,170,72,1,85
2018-04-24,15298,561,284,184,94,7,102
2018-04-23,15730,624,218,261,89,4,111
2018-04-22,16053,647,138,335,92,11,120
2018-04-21,19052,561,167,253,111,9,129
2018-04-20,17913,583,296,195,113,6,129
2018-04-19,15996,543,279,167,75,5,79
2018-04-18,16145,606,309,199,100,7,117
2018-04-17,15458,563,269,167,61,2,73
2018-04-16,16140,632,277,221,99,7,114
2018-04-15,16491,724,134,346,72,9,90
2018-04-14,19213,701,141,312,103,11,114
2018-04-13,17729,586,281,190,90,1,110
2018-04-12,16668,601,263,214,76,5,81
2018-04-11,16426,642,330,212,79,3,91
2018-04-10,16455,606,250,223,84,6,91
2018-04-09,17030,649,252,254,109,2,150
2018-04-08,15882,630,144,301,77,1,99
2018-04-07,18597,642,163,254,80,8,85
2018-04-06,17176,604,281,199,84,3,90
2018-04-05,16076,594,288,163,64,3,75
2018-04-04,16239,601,303,167,73,8,78
2018-04-03,16265,558,285,202,59,5,83
2018-04-02,11974,569,125,239,58,6,71
2018-04-01,10311,401,100,184,49,6,66
2018-03-31,15918,720,211,276,58,7,83
2018-03-30,18092,582,374,191,73,4,83
2018-03-29,15561,550,442,157,85,6,110
2018-03-28,14856,577,294,176,53,5,63
2018-03-27,14565,634,263,204,45,3,53
2018-03-26,15005,602,254,204,55,0,60
2018-03-25,14655,607,131,252,67,7,79
2018-03-24,16919,665,149,261,49,6,53
2018-03-23,15826,589,308,173,63,3,66
2018-03-22,14429,572,324,136,52,10,71
2018-03-21,14605,607,268,150,50,6,55
2018-03-20,14115,550,348,141,61,3,73
2018-03-19,13380,468,241,142,55,4,63
2018-03-18,11753,468,123,191,44,5,50
2018-03-17,14684,494,169,157,51,2,66
2018-03-16,16604,515,350,111,80,9,105
2018-03-15,14968,638,303,177,47,7,52
2018-03-14,14713,572,293,150,59,8,54
2018-03-13,15371,593,310,156,58,3,60
2018-03-12,15753,619,264,191,56,2,75
2018-03-11,15154,664,145,272,58,10,71
2018-03-10,17913,703,153,268,59,9,77
2018-03-09,16186,621,228,183,79,4,83
2018-03-08,15510,773,288,310,70,9,74
2018-03-07,14389,572,269,151,49,2,56
2018-03-06,14615,531,266,137,58,2,62
2018-03-05,14266,570,258,150,58,6,62
2018-03-04,12645,522,152,183,35,1,48
2018-03-03,14834,508,149,169,39,4,62
2018-03-02,14761,531,273,121,67,3,77
2018-03-01,13639,492,288,131,52,2,59
2018-02-28,12936,448,282,103,58,7,72
2018-02-27,13393,412,349,94,43,4,53
2018-02-26,13342,408,283,101,63,3,67
2018-02-25,12239,474,152,177,34,2,43
2018-02-24,14589,511,140,177,52,1,73
2018-02-23,14946,552,284,135,56,2,66
2018-02-22,13702,571,288,143,40,7,45
2018-02-21,13594,580,255,138,53,2,59
2018-02-20,14058,523,279,132,53,4,59
2018-02-19,14120,492,322,144,61,8,83
2018-02-18,13177,554,159,195,46,5,61
2018-02-17,15800,619,154,223,74,7,83
2018-02-16,15311,581,271,149,61,3,68
2018-02-15,14217,540,302,145,80,2,94
2018-02-14,13693,529,259,140,66,4,74
2018-02-13,14454,559,273,173,66,1,83
2018-02-12,14800,557,231,171,78,7,90
2018-02-11,13486,647,140,248,33,4,46
2018-02-10,15630,549,145,181,52,2,68
2018-02-09,14980,503,263,137,66,6,78
2018-02-08,13673,479,259,115,71,4,82
2018-02-07,13820,502,282,157,58,9,61
2018-02-06,13709,486,278,110,67,7,66
2018-02-05,14103,517,249,164,63,2,76
2018-02-04,12988,581,158,200,37,2,45
2018-02-03,16088,576,179,232,41,9,46
2018-02-02,16100,562,283,156,75,7,83
2018-02-01,14762,606,318,166,68,6,78
2018-01-31,14119,531,338,137,60,3,72
2018-01-30,13807,526,299,108,50,7,57
2018-01-29,14145,490,292,136,73,14,92
2018-01-28,13300,643,141,228,53,5,84
2018-01-27,16043,575,176,204,57,9,74
2018-01-26,16102,553,308,150,62,4,87
2018-01-25,15093,582,337,179,56,3,63
2018-01-24,13828,519,318,125,62,5,67
2018-01-23,13587,470,308,104,42,1,51
2018-01-22,14082,514,260,166,54,5,53
2018-01-21,13276,517,139,168,50,6,63
2018-01-20,15959,550,201,190,50,7,63
2018-01-19,15496,490,345,122,72,6,82
2018-01-18,14610,467,294,99,47,3,51
2018-01-17,14508,507,315,103,62,9,65
2018-01-16,14093,458,264,106,74,2,86
2018-01-15,13599,545,297,192,66,6,79
2018-01-14,12928,587,168,212,43,9,47
2018-01-13,14881,598,176,182,43,4,52
2018-01-12,15373,546,306,173,67,3,67
2018-01-11,14599,559,303,141,80,5,89
2018-01-10,13852,526,284,128,66,4,72
2018-01-09,13368,466,281,139,56,3,61
2018-01-08,14280,608,281,263,62,9,66
2018-01-07,12550,506,157,187,48,5,82
2018-01-06,14351,485,190,160,48,4,60
2018-01-05,16531,603,302,137,80,7,92
2018-01-04,14380,479,310,124,66,8,65
2018-01-03,14246,458,285,107,88,6,101
2018-01-02,14740,503,244,173,67,6,81
2018-01-01,20633,791,147,336,46,8,56
2017-12-31,,431,118,160,42,3,60
2017-12-30,,456,179,146,66,8,81
2017-12-29,,395,258,129,65,11,84
2017-12-28,,369,374,102,81,10,119
2017-12-27,,457,300,140,94,6,134
2017-12-26,,432,102,191,43,8,62
2017-12-25,,341,118,148,52,7,73
2017-12-24,,404,123,163,60,9,76
2017-12-23,,571,218,206,110,10,124
2017-12-22,,548,350,175,108,8,112
2017-12-21,,394,279,125,120,9,141
2017-12-20,,408,263,129,111,10,133
2017-12-19,,418,240,118,96,8,120
2017-12-18,,466,256,153,103,8,119
2017-12-17,,574,129,210,54,3,80
2017-12-16,,589,166,200,68,9,77
2017-12-15,,500,248,166,111,11,127
2017-12-14,,554,229,205,103,10,118
2017-12-13,,474,218,141,80,4,88
2017-12-12,,446,272,133,100,13,111
2017-12-11,,462,294,139,95,6,107
2017-12-10,,609,141,205,69,9,99
2017-12-09,,591,174,223,65,6,79
2017-12-08,,478,256,165,99,9,107
2017-12-07,,492,252,128,112,8,124
2017-12-06,,457,226,111,136,9,138
2017-12-05,,474,250,121,89,6,96
2017-12-04,,409,227,124,89,6,101
2017-12-03,,564,135,221,63,9,68
2017-12-02,,545,156,206,67,8,84
2018-11-01,,440,248,119,96,8,114
2017-11-30,,471,286,153,126,8,148
2017-11-29,,545,327,162,80,3,85
2017-11-28,,445,288,123,88,12,93
2017-11-27,,490,241,171,77,8,89
2017-11-26,,658,134,225,54,7,61
2017-11-25,,811,130,439,86,8,103
2017-11-24,,576,325,187,116,10,141
2017-11-23,,554,265,158,104,10,116
2017-11-22,,466,276,136,104,12,114
2017-11-21,,484,302,154,71,4,85
2017-11-20,,453,220,154,103,4,119
2017-11-19,,597,148,265,67,7,79
2017-11-18,,632,182,263,91,15,100
2017-11-17,,579,279,174,100,7,106
2017-11-16,,496,312,155,64,8,70
2017-11-15,,597,244,152,78,9,96
2017-11-14,,469,268,147,93,7,99
2017-11-13,,460,212,182,107,11,118
2017-11-12,,641,127,307,63,5,85
2017-11-11,,668,156,306,75,8,96
2017-11-10,,635,331,176,99,8,115
2017-11-09,,543,265,152,74,6,92
2017-11-08,,551,252,162,70,7,71
2017-11-07,,528,252,171,67,6,79
2017-11-06,,558,243,167,70,4,81
2017-11-05,,633,141,264,72,10,73
2017-11-04,,600,166,233,80,9,92
2017-11-03,,503,259,163,92,6,110
2017-11-02,,529,284,170,98,11,99
2017-11-01,,518,189,222,50,2,78
2017-10-31,,453,279,161,102,5,117
2017-10-30,,482,270,147,83,6,103
2017-10-29,,594,131,246,84,9,103
2017-10-28,,870,167,250,82,12,98
2017-10-27,,601,301,202,105,8,119
2017-10-26,,550,284,171,92,6,123
2017-10-25,,533,286,155,96,11,104
2017-10-24,,632,258,185,86,7,97
2017-10-23,,573,247,208,117,8,130
2017-10-22,,672,144,297,73,4,93
2017-10-21,,718,152,273,84,8,99
2017-10-20,,643,265,215,82,8,95
2017-10-19,,631,284,208,97,2,116
2017-10-18,,645,274,189,109,9,115
2017-10-17,,608,274,203,123,16,136
2017-10-16,,636,238,229,116,8,130
2017-10-15,,728,136,311,83,15,103
2017-10-14,,720,188,281,68,9,90
2017-10-13,,619,285,179,88,8,100
2017-10-12,,668,343,194,108,12,125
2017-10-11,,644,280,185,108,9,127
2017-10-10,,550,267,159,81,4,91
2017-10-09,,641,240,273,116,7,148
2017-10-08,,624,143,266,67,11,94
2017-10-07,,635,166,265,66,6,69
2017-10-06,,500,240,160,123,8,144
2017-10-05,,536,259,166,97,8,108
2017-10-04,,580,276,183,67,3,74
2017-10-03,,540,245,195,114,10,125
2017-10-02,,583,233,233,112,8,144
2017-10-01,,651,129,286,80,9,109
2017-09-30,,608,174,256,98,8,118
2017-09-29,,612,272,219,112,14,145
2017-09-28,,499,312,155,99,7,112
2017-09-27,,567,252,172,91,9,94
2017-09-26,,550,225,171,79,5,96
2017-09-25,,578,247,200,83,6,99
2017-09-24,,668,151,300,62,8,81
2017-09-23,,593,150,277,88,10,105
2017-09-22,,539,302,211,81,5,87
2017-09-21,,520,231,192,75,10,81
2017-09-20,,487,290,159,77,9,79
2017-09-19,,474,269,162,80,10,88
2017-09-18,,501,224,195,104,15,123
2017-09-17,,723,122,348,93,17,122
2017-09-16,,630,164,273,87,4,116
2017-09-15,,550,237,208,85,7,103
2017-09-14,,635,274,198,84,4,95
2017-09-13,,565,264,165,98,11,104
2017-09-12,,550,229,185,106,7,119
2017-09-11,,686,211,278,97,10,120
2017-09-10,,757,136,366,81,13,106
2017-09-09,,661,152,302,97,7,128
2017-09-08,,562,268,210,103,8,113
2017-09-07,,488,252,151,86,7,95
2017-09-06,,565,276,183,82,5,103
2017-09-05,,493,258,184,101,8,108
2017-09-04,,499,222,190,97,6,111
2017-09-03,,695,156,334,67,12,108
2017-09-02,,605,149,294,85,6,108
2017-09-01,,585,228,226,111,7,141
2017-08-31,,578,331,196,108,7,121
2017-08-30,,611,263,182,97,4,110
2017-08-29,,531,252,167,77,8,86
2017-08-28,,559,230,223,101,10,114
2017-08-27,,769,158,335,94,11,131
2017-08-26,,708,157,285,81,12,94
2017-08-25,,607,290,251,91,10,103
2017-08-24,,577,256,204,74,4,85
2017-08-23,,562,221,178,87,5,107
2017-08-22,,491,223,171,75,5,86
2017-08-21,,533,188,224,73,5,82
2017-08-20,,715,146,310,84,9,125
2017-08-19,,661,150,258,93,7,127
2017-08-18,,622,236,213,85,9,95
2017-08-17,,586,260,191,88,2,96
2017-08-16,,599,213,228,98,5,108
2017-08-15,,593,139,292,76,6,98
2017-08-14,,592,170,266,100,4,126
2017-08-13,,790,144,359,70,2,94
2017-08-12,,671,158,333,106,9,156
2017-08-11,,690,224,290,116,10,136
2017-08-10,,562,241,229,102,6,125
2017-08-09,,666,235,240,100,9,106
2017-08-08,,551,264,207,94,7,113
2017-08-07,,674,239,297,107,17,132
2017-08-06,,781,137,360,98,10,125
2017-08-05,,724,157,340,122,7,151
2017-08-04,,559,207,221,111,10,129
2017-08-03,,637,235,234,81,8,91
2017-08-02,,606,265,228,87,5,97
2017-08-01,,574,240,202,104,8,119
2017-07-31,,531,231,212,114,13,129
2017-07-30,,717,136,368,112,12,140
2017-07-29,,614,158,255,96,9,115
2017-07-28,,494,264,171,92,12,91
2017-07-27,,529,232,178,89,3,117
2017-07-26,,563,236,184,84,11,98
2017-07-25,,575,267,192,98,7,132
2017-07-24,,586,202,249,80,6,97
2017-07-23,,792,156,375,92,9,128
2017-07-22,,666,157,338,84,7,117
2017-07-21,,576,219,227,103,8,133
2017-07-20,,602,238,228,85,4,92
2017-07-19,,602,246,198,100,3,116
2017-07-18,,533,218,209,94,7,115
2017-07-17,,615,216,284,108,7,126
2017-07-16,,732,138,372,93,6,129
2017-07-15,,679,141,293,90,5,115
2017-07-14,,603,232,182,86,3,117
2017-07-13,,547,251,178,97,7,120
2017-07-12,,688,260,245,92,6,102
2017-07-11,,596,239,232,106,4,138
2017-07-10,,728,243,330,99,17,118
2017-07-09,,828,136,432,88,5,124
2017-07-08,,685,165,294,93,7,114
2017-07-07,,585,192,244,105,11,112
2017-07-06,,562,239,215,96,5,126
2017-07-05,,569,224,183,82,3,105
2017-07-04,,543,233,190,98,6,100
2017-07-03,,603,224,235,70,5,81
2017-07-02,,744,142,375,82,10,114
2017-07-01,,647,140,300,102,6,134
2017-06-30,,489,519,194,108,2,156
2017-06-29,,608,242,238,97,12,105
2017-06-28,,514,253,183,95,5,107
2017-06-27,,560,241,202,102,4,124
2017-06-26,,681,194,288,92,8,97
2017-06-25,,875,132,403,105,15,135
2017-06-24,,761,181,342,92,12,124
2017-06-23,,593,284,223,117,6,128
2017-06-22,,570,228,201,118,8,135
2017-06-21,,592,231,202,102,4,115
2017-06-20,,554,245,181,86,9,103
2017-06-19,,567,208,226,102,5,115
2017-06-18,,738,126,362,80,5,105
2017-06-17,,630,137,274,86,8,107
2017-06-16,,601,236,225,106,6,147
2017-06-15,,666,164,295,82,6,116
2017-06-14,,577,252,183,85,7,99
2017-06-13,,625,272,222,106,3,132
2017-06-12,,679,241,272,117,5,152
2017-06-11,,734,148,308,80,9,102
2017-06-10,,664,149,339,115,9,136
2017-06-09,,596,229,261,110,7,128
2017-06-08,,621,267,220,94,5,105
2017-06-07,,599,256,196,91,3,109
2017-06-06,,864,274,409,87,4,100
2017-06-05,,557,214,202,113,5,132
2017-06-04,,763,139,362,94,10,124
2017-06-03,,654,167,229,113,4,148
2017-06-02,,624,265,214,113,7,126
2017-06-01,,587,256,175,117,4,139
2017-05-31,,645,293,232,78,1,86
2017-05-30,,527,260,198,102,5,127
2017-05-29,,614,317,232,95,8,113
2017-05-28,,906,122,540,119,14,159
2017-05-27,,696,167,293,99,8,105
2017-05-26,,599,262,200,98,8,116
2017-05-25,,596,299,189,69,10,67
2017-05-24,,557,265,163,81,6,87
2017-05-23,,643,300,192,93,7,107
2017-05-22,,581,247,233,106,5,122
2017-05-21,,638,156,293,72,3,108
2017-05-20,,661,155,296,109,7,131
2017-05-19,,647,256,244,140,4,164
2017-05-18,,593,253,201,117,6,146
2017-05-17,,659,232,206,108,15,111
2017-05-16,,659,225,185,75,7,81
2017-05-15,,718,232,274,85,6,94
2017-05-14,,759,164,349,81,4,106
2017-05-13,,690,146,294,88,8,101
2017-05-12,,665,257,225,92,2,106
2017-05-11,,638,223,203,78,4,90
2017-05-10,,612,238,204,79,11,84
2017-05-09,,548,234,160,59,2,68
